id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
48	abundance	0.1338	0.2152	2	79	288	51	2013.6078	14.8627	0.7641
99	adaptation	0.7421	0.1728	1	75	231	67	2013.5373	14.5522	0.9743
560	assemblage	-0.7411	-0.1934	2	86	640	110	2014.5818	23.3818	0.8902
651	bacteria	0.8946	0.2025	1	55	149	58	2013.8276	29.6552	1.214
730	behavior	0.583	0.7352	1	34	62	27	2010.7778	11.8519	0.5624
830	biodiversity	-0.2874	0.2577	3	100	2747	530	2014.3396	21.2283	0.9778
877	biogeography	0.2415	0.8594	3	61	174	36	2014.6389	22.9167	1.2279
914	biomass	0.5566	-0.6781	2	57	142	33	2013.6667	18.2727	0.9567
947	bioturbation	-0.4778	0.9144	3	35	89	19	2013.1053	21.1053	0.7589
1537	climate-change	-0.005	0.368	1	92	823	181	2015.0773	24.4088	1.5054
1575	coast	0.1843	-0.6011	2	62	248	57	2014.8246	15.7368	0.943
1702	community	-0.2414	-0.0682	2	99	2438	466	2014.2146	21.5322	1.0544
1772	competition	0.4804	-0.2149	1	71	262	50	2013.36	33.14	0.9547
1835	conservation	-0.7516	0.3604	3	70	364	65	2014.4154	13.9538	0.9668
1872	continental-shelf	-0.1928	1.2262	3	30	80	19	2014.1053	13.3158	0.885
2376	dispersal	0.1382	-0.0976	2	58	196	42	2014.8095	12.381	1.1606
2407	disturbance	-0.4341	0.1575	5	80	393	70	2013.6857	16.0857	0.8513
2425	diversity	0.1431	0.3704	3	86	525	103	2014.4757	18.3786	0.9133
2536	dynamics	0.3737	0.1521	1	88	427	83	2013.5783	14.5783	0.8576
2650	ecology	-0.0625	-0.0292	2	91	755	137	2013.5328	22.8467	0.9526
2669	ecosystem	0.0045	0.116	3	92	697	128	2013.8203	20.2656	1.0158
2680	ecosystem functioning	-0.4418	0.6529	3	93	799	148	2014.0338	21.277	1.0534
2698	ecosystem services	-0.7118	0.1847	3	56	156	27	2015.7778	20.963	1.3339
2883	environmental gradients	-0.4116	-0.3719	2	50	109	21	2013.1429	32.0476	0.8558
3033	eutrophication	-0.0956	-0.5252	2	64	161	27	2013.1111	19.4074	0.9162
3042	evolution	0.8339	0.3194	1	66	278	84	2012.7976	18.9167	0.7702
3264	fish	-0.2114	0.5883	3	88	617	128	2014.25	24.3047	1.2332
3292	fisheries	0.0606	0.9576	3	44	103	23	2014.4348	16.6957	1.1727
3426	foodweb	0.1873	0.522	1	88	586	128	2014.1484	15.625	0.8511
