id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
67	abundance	-0.419	0.28	1	79	320	60	2012.8	16.4167	0.7466
135	adaptation	0.4856	0.8392	2	76	344	106	2012.8868	19.2736	0.9958
716	assemblage	-0.1547	-0.7889	3	89	1075	195	2013.9744	21.5538	0.9471
837	bacteria	0.0677	0.5262	2	60	177	69	2013.7681	28.4348	1.2006
943	behavior	0.3106	0.9257	2	41	94	36	2010.6389	16.9167	0.646
1054	bioassessment	0.8135	-0.9248	3	39	139	26	2013.7308	18.3077	0.9468
1064	biodiversity	-0.2529	-0.0873	1	99	4906	1014	2014.0128	20.5454	1.0101
1120	biogeography	-0.6737	0.5983	1	58	197	42	2014.6429	21.2381	1.3472
1167	biomass	-0.0734	0.2648	1	69	202	47	2013.617	20.6596	1.0469
1204	biotic integrity	0.6547	-1.0891	3	43	130	26	2013.6538	16.5	0.9476
1997	climate-change	-0.232	0.192	2	94	1190	260	2014.8308	23.1692	1.4355
2046	coast	0.6248	-0.1334	3	59	229	57	2014.7193	15.5439	0.9764
2201	community	-0.2336	-0.2597	1	98	3559	692	2013.909	20.9436	1.0644
2290	competition	-0.414	0.7935	1	72	363	71	2012.4225	28.8451	0.8862
2376	connectivity	-0.453	-0.8714	1	54	140	26	2014	18.6154	1.0578
2377	conservation	0.0787	-0.5826	1	75	509	98	2014.0918	18.2653	1.0304
2796	decomposition	-0.7144	-0.0923	1	43	131	25	2013.04	28.68	1.1571
3081	dispersal	-0.159	-0.5043	1	67	332	69	2014.6232	10.942	1.0354
3126	disturbance	-0.4982	-0.6328	1	83	644	116	2013.1379	17.931	0.9106
3238	drought	-0.3156	-0.6915	1	51	156	32	2013.875	18.4688	1.0994
3297	dynamics	-0.2342	0.384	2	91	655	129	2013.4806	15.1008	0.8931
3456	ecology	0.0185	0.1457	1	97	1245	230	2013.6087	19.7087	0.9257
3481	ecosystem	-0.3757	-0.1856	1	97	1221	230	2013.6522	20.0217	1.0431
3493	ecosystem functioning	-0.9639	0.0845	1	90	890	170	2013.7471	21.1353	1.1964
3516	ecosystem services	-0.6588	-0.4106	1	60	201	39	2015.6923	15.7436	1.2368
3746	environmental gradients	0.5045	-0.6355	3	62	196	37	2012.7838	26.5405	0.9082
3942	eutrophication	0.0449	-0.047	1	70	210	37	2013.7568	15.973	1.0184
3953	evolution	0.6173	0.6637	2	75	409	128	2012.6953	20.1875	0.8746
4251	fish	0.4597	-0.0802	2	92	1261	276	2013.3551	23.3406	1.0733
4350	floodplain	0.8171	-0.6395	3	63	232	38	2010.7895	28.5526	0.9154
4480	foodweb	-0.0508	0.4143	2	93	802	176	2013.4034	18.7955	0.8651
4507	forest	0.2304	-0.0949	1	77	382	79	2014.0633	14.2785	0.8303
4645	freshwater	0.2716	-0.5847	3	91	810	161	2013.677	18.9503	0.9345
4967	genes	0.6234	0.8024	2	33	84	43	2013.8837	17.3023	1.0016
5146	gradient	0.4078	0.0547	1	84	326	57	2011.9474	25.2456	0.8763
5245	growth	0.0647	0.6753	2	78	434	120	2012.7583	20.3917	0.7545
5304	habitat	0.6481	-0.5899	3	91	1065	192	2012.1875	33.4635	1.0016
5783	identification	0.7526	0.5604	2	42	84	33	2014.3939	10.2727	0.712
5805	impact	-0.3363	0.0718	1	86	499	101	2013.8218	18.0693	0.9096
5853	indicator	0.2661	-1.0727	3	61	251	46	2012.8043	24.7391	0.9374
5941	insect	0.9412	-0.4658	3	75	437	80	2011.85	39.65	1.1339
6098	invasion	0.2081	0.3778	2	73	357	82	2013.8415	18.878	1.0586
6122	invertebrate	0.1013	-0.8811	3	94	1764	334	2012.7096	24.8293	1.0588
6268	knowledge	-0.5147	-0.4549	1	84	520	95	2015.0526	13.9684	0.9721
6318	lake	0.4676	0.1951	2	88	458	89	2013.7978	17.0225	0.763
