id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
50	abundance	-0.3436	0.7746	1	65	189	36	2013.1111	17.6111	0.8182
90	adaptation	1.0944	-0.3232	3	55	195	68	2012.4559	21.8382	0.868
309	anadromous	0.9784	-0.7176	3	25	50	19	2012.1053	21.4737	1.0434
526	assemblage	-0.2654	-0.5557	2	87	956	164	2014.0305	22.1646	0.9653
612	bacteria	-0.0898	0.9123	1	46	95	31	2013.9355	21.8387	0.8619
687	behavior	1.155	-0.0721	3	30	60	23	2010.2609	21.1304	0.7715
781	bioassessment	-0.6271	-1.1549	4	40	130	21	2013.0476	22.7143	1.0313
791	biodiversity	-0.1735	0.2417	2	100	3254	583	2014.1492	19.5026	1.0191
835	biogeography	0.8662	0.6451	3	42	97	21	2015.1905	13.7143	0.8417
874	biomass	-0.0811	0.7253	1	58	136	30	2014.7	16.7	1.106
886	biomonitoring	-0.4323	-0.9345	4	51	139	22	2012.7727	45.0909	1.5901
901	biotic integrity	-0.4038	-1.0908	4	48	146	28	2013.9643	16.0357	0.9605
1181	carbon	-0.2453	0.9256	1	44	96	19	2014.6316	12.2105	0.8466
1449	climate	-0.4752	0.7362	1	60	133	22	2014.3636	21.1364	1.5249
1461	climate-change	0.0292	-0.0265	5	91	732	145	2015.3379	15.8552	1.2854
1580	community	-0.171	-0.0432	2	99	2898	524	2014.0649	19.9237	1.0729
1637	competition	0.6696	0.5349	1	63	229	40	2012.05	35.1	0.9905
1695	connectivity	-0.7867	0.3168	2	54	144	25	2013.88	19.68	1.0317
1696	conservation	0.0456	-0.4488	2	73	380	65	2014.2769	20.8462	0.9838
1991	decomposition	-0.7012	0.9591	1	36	103	19	2014.1053	17.8947	1.1477
2185	dispersal	0.4653	0.5948	2	66	286	55	2014.8545	10.7091	1.2072
2224	disturbance	-0.7496	-0.148	5	83	558	95	2013.6632	17.9158	0.9313
2237	diversity	0.2807	0.6961	2	86	524	105	2014.1619	16.9619	1.0589
2309	drought	-1.0159	-0.0897	5	49	140	25	2014.28	16.28	1.0947
2347	dynamics	0.3133	0.5056	1	87	488	92	2013.7065	15.8913	0.9667
2477	ecology	0.2144	0.0481	2	99	1083	185	2013.8162	17.8108	0.9629
2497	ecosystem	-0.3906	0.2001	1	93	802	140	2013.9143	17.9214	1.0279
2506	ecosystem functioning	-0.1258	0.4385	2	90	883	157	2013.4522	22.1975	1.1797
2525	ecosystem services	-0.5632	0.1082	2	57	155	28	2015.9643	7.6786	1.082
2693	environmental gradients	-0.5526	-0.4141	4	60	168	28	2012.75	32.6786	1.1083
2837	eutrophication	-0.6202	0.2485	1	63	169	30	2014.8	7.5333	0.9527
2844	evolution	0.9269	-0.065	3	67	262	81	2012.642	20.7654	0.9036
3049	fish	0.4413	-0.5605	3	92	1174	237	2013.4852	21.6835	1.0503
3128	floodplain	0.0764	-0.6993	4	69	242	38	2010.7895	29.0789	0.9245
3158	flow	0.3621	0.0408	2	53	114	20	2013.8	11.1	0.4477
3242	foodweb	0.5341	-0.0118	3	92	695	144	2013.5833	18.0694	0.8821
3257	forest	-0.453	0.3691	1	63	219	41	2014.1463	12.9512	0.8578
3368	freshwater	-0.1445	-0.3631	4	98	855	165	2013.7818	19.3091	0.9856
3447	functional diversity	-0.2399	-0.2024	2	96	1635	280	2014.1679	23.1821	1.115
3504	functional trait	0.069	0.2031	1	98	1455	265	2014.9623	15.7283	1.126
3742	gradient	0.3246	-0.2249	3	86	275	44	2012.1136	21.3409	0.8287
3813	growth	0.5197	0.4159	1	65	254	68	2012.3529	28.1176	0.9066
3851	habitat	-0.1228	-0.6788	4	90	1062	177	2012.2655	32.4463	0.9816
4206	identification	0.504	-0.7153	3	33	48	19	2015.1053	6.9474	0.8543
4221	impact	0.1099	-0.275	3	79	382	70	2013.7571	20.6143	1.0315
4258	indicator	-0.5794	-0.7943	4	63	256	44	2013.5227	17.7955	0.7863
4319	insect	-0.0328	-1.0215	4	80	453	76	2012	41.4474	1.2385
4431	invasion	0.6681	0.0233	3	64	251	54	2014.3148	21.7222	1.2265
4448	invertebrate	-0.6504	-0.5542	4	98	1843	329	2012.8541	25.5532	1.1639
4539	knowledge	-0.4233	-0.2044	2	84	468	78	2015.359	13.2692	1.1474
4576	lake	0.3111	0.2562	1	90	498	95	2014.1053	16.3895	0.763
4643	landscape	0.1248	-0.9769	4	55	163	26	2011.8077	59.6154	1.1383
4663	landuse	-0.76	-0.411	4	80	508	85	2014.1529	13.7412	0.9734
4825	life-history	0.5636	-0.468	3	90	699	134	2014.2015	20.1642	1.1045
4836	light	0.3344	0.9101	1	41	81	19	2014.6842	11.4737	0.8069
4854	limiting similarity	0.2713	-0.3901	2	49	145	23	2013.8696	21.2174	1.1735
4876	litter	-0.7543	0.764	1	53	157	32	2014.0312	23.8125	1.2616
4912	location	-0.7481	0.0691	2	89	742	142	2013.993	18.4366	1.027
5034	macrofauna	-0.0383	0.575	2	51	129	24	2013.8333	20.625	1.2506
5052	macrophyte	-0.27	0.3952	1	72	287	48	2014.125	15.25	0.8569
5100	management	-0.6224	-0.0619	1	81	452	81	2013.6049	14.6914	0.9829
5120	marine	0.1329	0.5502	2	79	539	122	2014.2295	13.2459	0.9913
5485	model	0.5889	0.1814	2	66	285	53	2013.7925	19.8679	0.9741
5574	morphology	0.9563	-0.1772	3	83	570	166	2012.3253	23.1024	0.8521
6020	nutrient	-0.2253	0.6409	1	70	285	59	2014.8983	16	0.8687
6155	organicmatter	-0.4977	0.9657	1	45	141	34	2014.0882	19.3529	1.1089
6326	pattern	0.2141	-0.141	2	94	1038	172	2013.0988	23.564	1.2468
6501	phylogeny	0.7546	-0.2022	3	55	122	33	2011.9697	27.2424	0.8681
6528	phytoplankton	0.4623	0.7465	1	70	363	67	2013.8806	23.0746	1.3883
6570	plankton	0.6601	0.6931	1	52	151	27	2014.9259	9.037	0.9175
6583	plant	0.0417	0.373	1	68	248	65	2013.0923	22.9538	1.0116
6691	pollution	0.2064	-0.817	3	44	105	21	2012.1905	25.0476	0.7475
6736	population	0.8126	-0.3289	3	65	230	61	2012.7213	17.5902	0.7222
6902	productivity	0.0967	0.7475	1	61	169	31	2013.5806	39.6452	1.4071
6974	quality	-0.8993	-0.5383	4	67	260	57	2013.3684	33.0877	1.0186
7122	redundancy	-0.9642	0.0746	2	67	332	52	2015.0769	14.5385	1.0471
7241	resilience	-1.0612	0.3018	5	55	192	29	2015.0345	9.5862	0.8516
7275	response	-0.2918	0.0759	1	85	353	62	2014.2581	25.1774	1.324
7366	river	-0.4719	-0.6494	4	96	1304	219	2012.3653	29.0822	1.1235
7601	scale	-0.0885	0.0896	1	74	219	36	2013.3889	15.3056	0.7006
7700	sediment	-0.7305	0.5585	2	65	259	59	2014.3729	19.0678	0.9203
7744	selection	0.8752	-0.488	3	43	101	29	2012	23.931	0.7491
7916	size	0.8725	0.3286	3	88	687	135	2013.8074	18.163	1.0501
8136	spatial scales	-0.2403	-0.7964	4	47	116	19	2011.6842	62.9474	1.6962
8163	species	1.0592	-0.5435	3	47	154	36	2013.6667	25.5278	1.2729
8315	statistical-method	0.2271	-0.5573	4	79	470	87	2013.046	24.4023	0.8881
8368	strategy	-0.0209	-0.1833	1	59	184	32	2010.0938	31.2188	1.2557
8373	stream	-0.9683	-0.3293	4	80	624	98	2012.9286	18.8673	1.1824
8429	stressor	-0.7351	-0.7488	4	60	230	41	2015.6341	14.4878	1.6444
8511	succession	0.0971	0.8962	1	50	117	23	2012.6087	16.4783	1.0832
8601	system	-0.0363	-0.8338	4	63	182	29	2012.8966	21.9655	1.1997
8698	temperature	0.4525	0.2739	1	65	208	42	2013.881	14.8095	1.0656
8711	temporal	0.2115	0.3805	2	57	142	27	2013.2963	23.6296	1.332
8890	tradeoff	0.9102	0.1208	3	53	140	33	2011.6667	49.4242	1.5689
8893	trait	-0.3628	-0.4025	4	99	3191	576	2013.3403	25.3976	1.1433
8933	trait-based approach	0.5259	-0.1802	5	53	139	24	2014.5417	18.1667	1.1019
9240	variability	0.4632	-0.3459	4	67	214	37	2012.8919	21.2162	0.7433
9260	vegetation	-0.3929	0.5752	1	80	477	104	2013.2981	22.125	0.9237
9362	water	-0.3761	-0.0535	1	86	397	79	2012.9241	21.8861	0.9224
9499	wetland	-0.5724	0.5151	1	59	156	28	2013.4643	10.3214	0.5565
9624	zooplankton	0.7138	0.2918	3	51	142	28	2013.8571	12.9643	0.8431
