id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
67	abundance	-0.0413	0.3868	1	144	409	60	2012.8	16.4167	0.7466
135	adaptation	0.8681	-0.394	3	145	474	106	2012.8868	19.2736	0.9958
146	adaptive evolution	0.9127	-0.713	3	24	31	10	2014.6	16.9	1.5058
173	adriatic sea	-0.8215	0.6503	1	41	75	13	2013.7692	19.3077	1.0136
262	algae	-0.1293	0.7297	2	66	110	16	2015.4375	12.875	1.2159
317	allometry	1.1139	0.1336	3	41	65	14	2012.7857	11.1429	0.3528
433	anadromous	0.9289	-0.5396	3	43	72	23	2012.2609	18.9565	0.9051
439	analysis bta	-0.8241	0.4213	1	42	74	11	2015.4545	7.5455	1.3776
569	aquaculture	-0.3204	0.5174	1	43	59	13	2013.3846	13.2308	0.7607
716	assemblage	-0.5366	-0.2288	2	220	1388	195	2013.9744	21.5538	0.9471
805	availability	0.317	0.0701	2	43	57	10	2013.7	12.9	0.5254
837	bacteria	0.4208	-0.096	3	98	231	69	2013.7681	28.4348	1.2006
943	behavior	0.7709	0.0839	3	82	141	36	2010.6389	16.9167	0.646
972	benthic community	-0.8938	0.5771	1	47	86	12	2014.0833	13.1667	0.7817
1013	benthos	-0.7032	0.4573	1	67	142	18	2012.7222	28.7222	1.4985
1054	bioassessment	-1.1031	-0.3401	1	67	182	26	2013.7308	18.3077	0.9468
1064	biodiversity	-0.2224	-0.0072	1	315	5212	786	2014.0496	19.5992	1.0128
1066	biodiversity conservation	-0.0519	-0.6482	2	57	88	11	2014.7273	14.3636	0.9887
1120	biogeography	0.1131	-0.1437	2	113	259	42	2014.6429	21.2381	1.3472
1162	biology	0.5335	-0.5149	3	35	44	10	2012.7	6.6	0.3934
1167	biomass	0.3092	0.5938	2	115	266	47	2013.617	20.6596	1.0469
1182	biomonitoring	-0.9689	-0.4106	1	82	175	22	2012.7727	43.6818	1.6097
1200	biotic homogenization	0.0166	-0.8012	2	60	129	19	2013.4737	25.1579	1.2678
1201	biotic index	-1.1247	0.1189	1	45	75	11	2013.0909	20.4545	0.7886
1204	biotic integrity	-0.9019	-0.52	1	75	175	26	2013.6538	16.5	0.9476
1211	bioturbation	-0.4705	0.8006	1	65	143	23	2012.9565	19.6087	0.822
1216	bird	-0.0606	-0.8753	2	55	97	16	2012.8125	26.5625	1.3554
1233	bivalve	0.4085	0.2458	3	36	49	10	2011.5	24.1	0.7501
1407	british-columbia	0.4373	-0.6689	3	50	66	10	2011.8	22.2	0.8044
1604	carbon	0.0922	0.5747	1	72	131	23	2013.8696	41.0435	2.2224
1675	catchment	-1.2336	-0.2877	1	43	89	11	2008.7273	50.6364	1.203
1759	centrarchid fishes	1.2532	-0.2066	3	28	55	11	2015	11.9091	1.0875
1869	china	0.0129	-0.6021	3	51	64	12	2014.5833	10.9167	0.625
1878	chironomidae	-0.7383	-0.7488	1	41	68	10	2015.1	8	0.5689
1898	chlorophyll fluorescence	0.8922	0.5799	2	33	50	15	2013	16.4667	0.885
1938	cichlid fishes	1.0867	-0.3709	3	43	71	14	2011	27.2143	0.7869
1960	cladocera	0.0237	-0.2171	1	43	65	12	2011.1667	54.8333	1.1325
1983	climate	0.3067	0.6753	2	103	221	31	2013.3871	38	1.5906
1998	climate-change	0.142	0.0788	3	246	1338	232	2014.9224	21.5647	1.4107
2047	coast	0.1303	0.2556	2	106	309	57	2014.7193	15.5439	0.9764
2097	coastal sage scrub	0.7567	0.5951	2	36	54	10	2012.3	41.5	1.1835
2131	coexistence	0.3492	0.1747	2	85	181	23	2014	14.0435	0.8688
2163	colonization	-0.2694	0.8746	3	58	128	19	2013.2632	13.6316	0.9286
2202	community	-0.1655	0.0837	3	302	4656	692	2013.909	20.9436	1.0644
2291	competition	0.5559	0.483	2	139	482	71	2012.4225	28.8451	0.8862
2304	complementarity	0.4464	0.8924	3	46	107	15	2011.1333	36.4	0.913
2320	complexity	-0.0075	0.7958	3	47	74	12	2014.1667	9.0833	0.597
2377	connectivity	-0.4586	-0.4396	2	84	179	26	2014	18.6154	1.0578
2378	conservation	-0.1044	-0.4205	2	159	669	98	2014.0918	18.2653	1.0304
2429	continental-shelf	-0.6839	0.6871	1	52	116	21	2013.9524	16	0.8728
2447	convergence	0.9267	-0.0016	2	78	168	23	2012.6957	32.1304	1.0117
2462	copepod	0.621	0.9212	3	38	67	13	2015.9231	4.1538	0.6448
2622	crustacea	0.6554	-0.6683	3	24	31	10	2010.5	14.1	0.5354
2761	data	-0.7605	-0.8547	1	53	127	17	2013	24.7059	0.9573
2797	decomposition	0.0451	0.4749	2	76	173	25	2013.04	28.68	1.1571
2873	density	0.142	0.6762	1	52	65	12	2010.9167	35.1667	0.7634
2912	desert stream	-0.8859	0.0245	1	32	58	10	2014.9	11.8	1.2588
2971	diatom	-0.408	0.3712	2	73	141	24	2014.5833	29.2083	1.2368
3025	differentiation	0.5767	-0.7264	3	39	59	10	2014.9	11.5	0.6735
3082	dispersal	-0.0356	-0.7147	2	137	453	69	2014.6232	10.942	1.0354
3120	distribution	0.2895	0.2394	2	74	127	17	2013.7647	23.4118	1.1724
3127	disturbance	-0.6111	0.1525	1	187	813	116	2013.1379	17.931	0.9106
3142	divergence	0.9247	-0.3393	3	71	139	22	2013	27.9545	0.8772
3147	diversity	0.1018	-0.2191	2	211	1013	156	2014.0256	17.9359	0.9262
3152	diversity indexes	-0.3742	-0.4959	2	45	85	12	2016	7.75	0.8364
3168	dna	0.5748	-0.6171	3	36	50	14	2012.8571	12.7143	0.6976
3240	drought	-0.0578	0.0596	2	84	205	32	2013.875	18.4688	1.0994
3299	dynamics	0.1292	0.3357	3	182	797	129	2013.4806	15.1008	0.8931
3377	ecological consequences	0.6869	-0.0356	3	40	67	12	2014.5	18.6667	0.9194
3393	ecological guilds	-0.8378	-0.0671	2	49	86	10	2017	4.9	0.9469
3421	ecological quality	-1.2155	0.1081	1	48	90	13	2015.6923	11	1.2492
3441	ecological status	-0.9247	0.3661	1	55	97	15	2014.6	19.1333	1.6936
3442	ecological stoichiometry	0.1665	0.6155	2	50	73	12	2013.6667	18.1667	0.6124
3458	ecology	-0.1098	-0.1438	2	245	1598	230	2013.6087	19.7087	0.9257
3483	ecosystem	-0.2299	0.2273	2	228	1291	193	2013.8031	18.2746	1.0264
3493	ecosystem engineers	-0.3167	0.6233	1	40	54	11	2014.2727	18.0909	0.8628
3495	ecosystem functioning	-0.1571	0.5757	1	227	1411	203	2013.6502	21.9458	1.1868
3518	ecosystem services	-0.1268	0.1497	1	96	248	39	2015.6923	15.7436	1.2368
3527	ecosystem-based management	-0.6436	1.0151	1	39	65	10	2013.5	27.7	1.178
3531	ecosystems	-1.0552	-0.1348	1	52	88	15	2013.4667	16.5333	0.9666
3723	environment	0.4991	-0.307	3	67	121	18	2013.8333	16	0.8376
3724	environment relationships	-0.4785	-0.6099	2	51	85	10	2015	20.2	1.0386
3741	environmental filters	-1.0098	-0.5524	1	52	96	12	2012.6667	49.3333	1.1829
3743	environmental flows	-0.5686	-0.4757	3	42	87	12	2015.1667	14.5	1.21
3747	environmental gradient	0.6002	-0.0194	2	61	105	13	2014.4615	45.6154	1.7458
3748	environmental gradients	-0.4505	-0.265	1	111	256	37	2012.7838	26.5405	0.9082
3775	environmental variables	-1.1133	0.2165	1	42	73	14	2013.5	15.5	0.719
3780	environmental-factors	-0.9121	-0.6238	1	50	96	13	2013.6923	14.1538	1.0383
3864	establishment	0.6398	-0.1007	2	41	58	11	2013	13.7273	1.4943
3871	estuaries	-0.9869	0.296	1	40	70	10	2013.9	15.1	1.3675
3926	europe	0.1312	-0.445	2	51	80	14	2012.5714	16.3571	0.9702
3944	eutrophication	-0.5701	0.0808	1	111	257	37	2013.7568	15.973	1.0184
3955	evolution	0.8659	-0.2492	3	152	555	128	2012.6953	20.1875	0.8746
4013	exotic species	-0.1448	-0.5621	3	51	75	13	2012.3077	15.2308	0.8934
4054	expression	0.8689	-0.1748	3	26	41	16	2012.3125	12.6875	0.5732
4060	extinction	0.1219	-0.2871	3	69	128	17	2013	24.4706	1.1242
4064	extinction risk	0.3662	-0.4212	3	67	164	23	2013.7826	30.6522	1.5049
4091	facilitation	1.0105	0.5428	2	60	141	21	2013.1429	15.5238	0.7489
4128	fauna	-0.4766	0.4382	1	53	82	13	2013.3846	7.8462	0.4353
4227	fine sediment	-1.2441	-0.4469	1	36	76	11	2014.0909	24.0909	1.2041
4239	fire	0.3836	0.3934	2	43	75	13	2012.6154	32.1538	1.0427
4253	fish	0.2546	-0.4296	3	255	1711	276	2013.3551	23.3406	1.0733
4254	fish assemblage	0.0761	-0.6568	3	51	74	12	2014.1667	9.75	0.8133
4258	fish community	-0.8317	-0.2464	1	43	76	10	2013.2	12.9	0.5601
4299	fisheries	-0.3152	0.7872	1	65	134	23	2014.3043	17.0435	1.3145
4318	fitness	0.5587	-0.1218	3	40	59	12	2009.9167	23.5	0.8508
4352	floodplain	-0.4899	-0.5333	1	100	274	38	2010.7895	28.5526	0.9154
4388	flow	0.235	-0.5514	3	75	135	20	2013.85	10.6	0.3909
4480	food-web structure	0.6217	0.4344	3	45	59	10	2015.2	11.3	0.7071
4482	foodweb	0.1825	0.1955	3	212	1051	176	2013.4034	18.7955	0.8651
4509	forest	0.282	-0.1818	2	152	506	79	2014.0633	14.2785	0.8303
4551	fossil record	0.7099	-0.4937	3	25	36	14	2014.4286	23.3571	1.6043
4577	fragmentation	-0.3601	-0.5799	2	46	66	10	2014.9	9.4	0.4015
4582	france	-0.339	-0.1309	2	55	84	14	2012.3571	15.9286	0.7313
4634	fresh-water phytoplankton	-0.0548	1.0335	2	33	76	11	2014.7273	24.8182	1.4444
4647	freshwater	-0.2345	-0.1039	1	213	1037	161	2013.677	18.9503	0.9345
4726	functional composition	-0.8273	0.2842	1	55	107	14	2013.7857	21.2857	1.3347
4744	functional diversity	-0.3148	-0.0194	2	279	2560	365	2014.1534	21.5233	1.0089
4748	functional ecology	-0.2239	-0.268	2	56	90	15	2014.0667	29.8	1.5251
4763	functional group	-0.2101	-0.3828	3	78	125	18	2011.5556	27.6111	1.0771
4802	functional richness	-0.2599	-0.91	2	52	106	12	2014.3333	32.9167	1.4202
4814	functional trait	0.075	0.1269	2	281	2523	385	2014.8104	17.2078	1.0615
4829	functional types	0.1678	0.5181	2	49	74	12	2014.4167	10.4167	0.6883
4842	functional-groups	-0.5407	0.3604	1	67	106	18	2011.5556	19.8889	0.5913
4845	functional-response	0.6994	0.6669	3	27	39	10	2010.4	43	0.9868
4846	functional-responses	0.4472	0.7145	3	43	59	12	2014.1667	9.5833	0.3678
4919	gastropod	0.646	-0.2953	3	40	65	13	2009.3846	25.6923	0.7191
4971	genes	0.8339	-0.4514	3	57	120	43	2013.8837	17.3023	1.0016
4977	genetic diversity	0.7361	-0.2199	3	41	66	15	2014.7333	12.2	1.2861
5063	geometric morphometrics	1.0694	-0.5205	3	39	78	18	2013.7222	15.5	0.6967
5150	gradient	0.0004	-0.018	2	147	419	57	2011.9474	25.2456	0.8763
5191	grazing	0.233	0.6114	2	48	66	13	2013.2308	14.6923	0.8385
5249	growth	0.5011	0.2515	2	158	570	120	2012.7583	20.3917	0.7545
5277	guild	-0.8187	0.2003	2	52	88	11	2014.6364	9.9091	0.9338
5308	habitat	-0.2864	-0.4818	1	231	1376	192	2012.1875	33.4635	1.0016
5331	habitat heterogeneity	-0.5556	-0.3576	2	62	112	14	2012	20.1429	0.6712
5355	habitat use	0.3076	-0.0007	3	42	61	12	2009.1667	39.3333	0.6579
5475	herbivory	0.4691	0.163	2	61	99	16	2013.1875	31.6875	1.1229
5487	heterogeneity	-0.6352	-0.9296	2	63	153	20	2011.55	32.35	0.6957
5557	history	0.4626	-0.5451	3	62	95	16	2011.8125	13.625	0.4355
5721	hydrology	0.224	-0.2659	3	56	84	12	2013.3333	17.25	1.0721
5787	identification	0.4203	-0.3119	3	70	116	33	2014.3939	10.2727	0.712
5809	impact	-0.1894	0.3629	1	183	643	101	2013.8218	18.0693	0.9096
5829	in-situ	-0.4771	0.7299	1	46	88	14	2012.3571	56.5714	1.7858
5847	index	-0.7219	-0.3984	3	46	78	11	2015.4545	14.4545	1.4689
5857	indicator	-0.7769	-0.009	1	116	320	46	2012.8043	24.7391	0.9374
5930	initial assessment	-1.3808	-0.3328	1	31	75	11	2011.7273	30.6364	1.3293
5945	insect	-0.503	-0.6849	1	149	542	80	2011.85	39.65	1.1339
5992	interaction strength	0.393	0.8031	3	41	73	13	2011.0769	29.5385	0.7539
6076	intraspecific variability	0.8378	0.1465	3	43	73	11	2016.0909	6	0.9828
6102	invasion	0.2079	-0.1105	3	142	468	82	2013.8415	18.878	1.0586
6126	invertebrate	-0.7871	-0.1835	1	236	2276	334	2012.7096	24.8293	1.0588
6159	island	0.1081	-0.9159	2	45	64	10	2014.8	12.2	1.1072
6272	knowledge	-0.327	0.2111	1	180	685	95	2015.0526	13.9684	0.9721
6322	lake	-0.1374	-0.0177	3	178	592	89	2013.7978	17.0225	0.763
6376	land use	-0.8241	-0.6324	1	52	96	13	2015	9.2308	1.0844
6383	land-use change	-0.1337	-0.7013	2	54	89	15	2013.4667	23.7333	0.8451
6388	landscape	-0.2508	-0.6432	1	89	224	31	2012.4194	49.4194	1.1142
6409	landuse	-0.8131	-0.4191	1	147	632	88	2013.8295	13.7159	0.9871
6469	latitudinal gradient	-0	-0.3983	2	54	88	13	2016.1538	13.9231	0.9614
6482	leaf	0.8876	0.3499	2	49	96	16	2014.5	9.1875	0.4512
6536	leaf traits	0.4812	0.4825	2	46	70	13	2011.3846	37.7692	0.8202
6552	leaves	0.5992	0.3198	2	50	85	18	2010	41.3889	0.9516
6615	life	0.0318	0.3634	2	39	52	10	2014.7	17.5	2.0774
6625	life history traits	-0.1122	-0.2689	2	41	58	11	2011.9091	10.7273	0.341
6636	life-history	0.0697	-0.4007	3	212	999	158	2014.1456	18.0886	1.0212
6650	light	0.273	0.8236	2	67	132	25	2014.28	11.6	0.8294
6670	limitation	0.2352	0.4007	2	54	78	12	2012.5	25.5	0.903
6675	limiting similarity	0.8232	-0.0011	2	97	304	41	2013.2439	40.3902	1.4152
6715	litter	-0.0903	0.457	2	95	226	39	2013.4872	30.359	1.2788
6764	location	-0.2549	0.0625	1	224	1166	187	2013.8182	17.5561	0.9166
6768	locomotion	1.0203	-0.2793	3	40	59	16	2010.6875	23.4375	0.6432
6919	macrofauna	-0.2435	0.404	1	96	220	33	2013.4848	18.5455	0.972
6926	macroinvertebrate	-0.4085	-0.6911	1	52	94	13	2014.6923	15.4615	1.2286
6940	macrophyte	-0.3534	-0.2364	1	117	333	45	2013.8222	15.5556	0.8775
6941	macrophyte communities	-0.65	-0.6492	1	36	59	10	2012.2	23.7	0.6077
7001	management	-0.0996	0.2153	2	183	737	112	2013.9196	13.8839	1.0083
7037	marine	-0.1634	0.4518	1	230	1482	283	2014.424	14.1272	0.9991
7048	marine benthic ecosystems	-1.0952	0.5268	1	50	104	14	2015.1429	12.7857	0.9567
